"Birdlife_Name","Jetz_Name"
"Ampeliceps coronatus","Ampeliceps_coronatus"
"Ampelioides tschudii","Ampelioides_tschudii"
"Ampelion rubrocristatus","Ampelion_rubrocristatus"
"Ampelion rufaxilla","Ampelion_rufaxilla"
"Ampelornis griseiceps","Myrmeciza_griseiceps"
"Amphilais seebohmi","Amphilais_seebohmi"
"Amphispiza bilineata","Amphispiza_bilineata"
"Amphispiza quinquestriata","Aimophila_quinquestriata"
"Amytornis ballarae","Amytornis_ballarae"
"Amytornis barbatus","Amytornis_barbatus"
"Amytornis dorotheae","Amytornis_dorotheae"
"Amytornis goyderi","Amytornis_goyderi"
"Amytornis housei","Amytornis_housei"
"Amytornis merrotsyi","Amytornis_merrotsyi"
"Amytornis modestus","Amytornis_textilis"
"Amytornis purnelli","Amytornis_purnelli"
"Amytornis striatus","Amytornis_striatus"
"Amytornis textilis","Amytornis_textilis"
"Amytornis woodwardi","Amytornis_woodwardi"
"Anabacerthia amaurotis","Anabacerthia_amaurotis"
"Anabacerthia lichtensteini","Philydor_lichtensteini"
"Anabacerthia ruficaudata","Philydor_ruficaudatum"
"Anabacerthia striaticollis","Anabacerthia_striaticollis"
"Anabacerthia variegaticeps","Anabacerthia_variegaticeps"
"Anabathmis hartlaubii","Nectarinia_hartlaubii"
"Anabathmis newtonii","Nectarinia_newtonii"
"Anabathmis reichenbachii","Nectarinia_reichenbachii"
"Anabazenops dorsalis","Anabazenops_dorsalis"
"Anabazenops fuscus","Anabazenops_fuscus"
"Anairetes alpinus","Anairetes_alpinus"
"Anairetes fernandezianus","Anairetes_fernandezianus"
"Anairetes flavirostris","Anairetes_flavirostris"
"Anairetes nigrocristatus","Anairetes_nigrocristatus"
"Anairetes parulus","Anairetes_parulus"
"Anairetes reguloides","Anairetes_reguloides"
"Anaplectes jubaensis","Anaplectes_rubriceps"
"Anaplectes leuconotos","Anaplectes_rubriceps"
"Anaplectes rubriceps","Anaplectes_rubriceps"
"Anarhynchus frontalis","Anarhynchus_frontalis"
"Anas acuta","Anas_acuta"
"Anas albogularis","Anas_gibberifrons"
"Anas andium","Anas_andium"
"Anas aucklandica","Anas_aucklandica"
"Anas bahamensis","Anas_bahamensis"
"Anas bernieri","Anas_bernieri"
"Anas capensis","Anas_capensis"
"Anas castanea","Anas_castanea"
"Anas chlorotis","Anas_chlorotis"
"Anas crecca","Anas_crecca"
"Anas eatoni","Anas_eatoni"
"Anas erythrorhyncha","Anas_erythrorhyncha"
"Anas flavirostris","Anas_flavirostris"
"Anas fulvigula","Anas_fulvigula"
"Anas georgica","Anas_georgica"
"Anas gibberifrons","Anas_gibberifrons"
"Anas gracilis","Anas_gracilis"
"Anas laysanensis","Anas_laysanensis"
"Anas luzonica","Anas_luzonica"
"Anas marecula",NA
"Anas melleri","Anas_melleri"
"Anas nesiotis","Anas_nesiotis"
"Anas platyrhynchos","Anas_platyrhynchos"
"Anas poecilorhyncha","Anas_poecilorhyncha"
"Anas rubripes","Anas_rubripes"
"Anas sparsa","Anas_sparsa"
"Anas superciliosa","Anas_superciliosa"
"Anas theodori",NA
"Anas undulata","Anas_undulata"
"Anas wyvilliana","Anas_wyvilliana"
"Anas zonorhyncha","Anas_poecilorhyncha"
"Anastomus lamelligerus","Anastomus_lamelligerus"
"Anastomus oscitans","Anastomus_oscitans"
"Ancistrops strigilatus","Ancistrops_strigilatus"
"Andigena cucullata","Andigena_cucullata"
"Andigena hypoglauca","Andigena_hypoglauca"
"Andigena laminirostris","Andigena_laminirostris"
"Andigena nigrirostris","Andigena_nigrirostris"
"Androdon aequatorialis","Androdon_aequatorialis"
"Andropadus importunus","Andropadus_importunus"
"Androphobus viridis","Androphobus_viridis"
"Anhima cornuta","Anhima_cornuta"
"Anhinga anhinga","Anhinga_anhinga"
"Anhinga melanogaster","Anhinga_melanogaster"
"Anhinga novaehollandiae","Anhinga_novaehollandiae"
"Anhinga rufa","Anhinga_rufa"
"Anisognathus flavinucha","Anisognathus_somptuosus"
"Anisognathus igniventris","Anisognathus_igniventris"
"Anisognathus lacrymosus","Anisognathus_lacrymosus"
"Anisognathus lunulatus","Anisognathus_igniventris"
