"Jetz_Name","Body_mass","Latitude_mean","Beak"
"Amblyramphus_holosericeus",56.76,-26.15,31.0686810708186
"Ammodramus_aurifrons",17.8,-3.62,14.204380414555
"Ammodramus_humeralis",15.99,-14.56,12.5724113950452
"Ammodramus_savannarum",17.61,38,13.6018937665131
"Ammomanes_cinctura",18.13,26.34,12.2923338474463
"Ammomanes_deserti",23.8,25.52,16.739320857903
"Ammomanes_phoenicura",25.6,21.19,14.6884825570025
"Ammomanes_grayi",21.41,-21.28,14.5469991662035
"Myrmeciza_pelzelni",17.73,0.96,17.7129297915326
"Ammoperdix_griseogularis",201.86,32.9,15.3852081422862
"Ammoperdix_heyi",189.73,22.96,17.3709666584134
"Ammodramus_caudacutus",19.19,NA,16.0538351387158
"Ammodramus_leconteii",13,52.3,11.1592341423927
"Ammodramus_maritimus",22.16,33.41,16.5970609711129
"Ammodramus_nelsoni",15.11,48.93,14.6035002146248
"Ampeliceps_coronatus",87.87,18.71,22.4767363795863
"Ampelioides_tschudii",78.4,-3.35,22.7270985260743
"Ampelion_rubrocristatus",66.29,-3.63,18.095879926485
"Ampelion_rufaxilla",73.9,-7.22,17.9407631207249
"Myrmeciza_griseiceps",15,-4.75,18.4343359370716
"Amphilais_seebohmi",12.3,-18.09,11.7061791625805
"Amphispiza_bilineata",13.5,32.55,11.6012184035964
"Aimophila_quinquestriata",19.53,26.93,14.4207038549036
"Amytornis_ballarae",20.97,NA,15.5324053974822
"Amytornis_barbatus",18.39,-26.57,14.0883578347042
"Amytornis_dorotheae",23.22,-19.8,14.1012901281472
"Amytornis_goyderi",16.69,-25.71,14.0582640709968
"Amytornis_housei",28.92,-15.7,19.0145719492396
"Amytornis_merrotsyi",19.64,NA,14.3776471064426
"Amytornis_textilis",23.03,-29.89,NA
"Amytornis_purnelli",20.97,-24.14,16.9325337150897
"Amytornis_striatus",19.64,-27.2,16.4389785216469
"Amytornis_woodwardi",35.05,-13.13,19.9718453969713
"Anabacerthia_amaurotis",19.2,-25.12,18.5333221294545
"Philydor_lichtensteini",21,-21.53,16.7430461604204
"Philydor_ruficaudatum",30.1,-3.63,17.6131471391469
"Anabacerthia_striaticollis",24.8,-1.94,16.1335467163978
"Anabacerthia_variegaticeps",27.8,11.04,16.6144363841733
"Nectarinia_hartlaubii",10.5,1.51,22.4130529280584
"Nectarinia_newtonii",6.5,0,16.1855810622536
"Nectarinia_reichenbachii",11.4,1.24,17.9977199262939
"Anabazenops_dorsalis",35.4,-6.82,22.9220780575182
"Anabazenops_fuscus",39,-20.81,24.1740485687833
"Anairetes_alpinus",9,-13.47,12.7605318043381
"Anairetes_fernandezianus",6.85,-33.77,14.0241197049711
"Anairetes_flavirostris",6,-26.41,10.5754536269698
"Anairetes_nigrocristatus",6.85,-7.72,12.7667542456649
"Anairetes_parulus",6.2,-32.05,10.4642504803278
"Anairetes_reguloides",5.9,-14.04,15.1825018472504
"Anaplectes_rubriceps",22.57,-5.85,NA
"Anarhynchus_frontalis",57.64,-40.08,31.2884704522137
"Anas_acuta",944.62,57.08,48.1570943898389
"Anas_gibberifrons",488.11,-4.64,35.3300600159448
"Anas_andium",434,NA,39.8220652219597
"Anas_aucklandica",499.09,-42.04,45.0743742353357
"Anas_bahamensis",489.97,-12.07,41.5351239468437
"Anas_bernieri",378.48,-17.49,35.2087925877461
"Anas_capensis",402,-3.84,39.6638032769784
"Anas_castanea",624.01,-30.98,37.3076111154165
"Anas_chlorotis",499.09,NA,42.8158351211399
"Anas_crecca",341.89,55.64,36.6980057602972
"Anas_eatoni",944.62,-47.91,31.514879956143
"Anas_erythrorhyncha",558.82,-10.07,43.8968739960715
"Anas_flavirostris",434,-33.88,35.534336297607
"Anas_fulvigula",843.42,27.91,59.6915877035819
"Anas_georgica",623.82,-31.78,34.2561146028359
"Anas_gracilis",488.11,-26.35,38.953129707098
"Anas_laysanensis",843.42,25.38,43.3611581976952
"Anas_luzonica",832.04,11.64,54.1692891883664
"Anas_melleri",959.22,-19.22,62.2642369359527
"Anas_nesiotis",499.09,NA,33.6081420923583
"Anas_platyrhynchos",843.42,49.28,58.1981353188865
"Anas_poecilorhyncha",999.96,31.21,61.5673929182943
